ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
393307050,Master and Commander (Aubrey-Maturin (Paperback)),Patrick O'Brian,1990,W. W. Norton & Company
452282934,Backpack,Emily Barr,2002,Plume Books
679722637,The Thin Man (Vintage Crime/Black Lizard),Dashiell Hammett,1992,Vintage Books USA
441001971,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books
684810395,Pretend You Don't See Her,Mary Higgins Clark,1997,Simon & Schuster
70064601,Family: The Ties That Bind and Gag!,Erma Bombeck,1987,McGraw-Hill Companies
373218419,Blithe Images,Nora Roberts,2003,Silhouette
440222842,Five Days in Paris,DANIELLE STEEL,1997,Dell
3548359698,Warum MÃ?Â¤nner nicht zuhÃ?Â¶ren und Frauen schlecht einparken.,Allan Pease,2000,Ullstein Tb
553379011,The Story of B,DANIEL QUINN,1997,Bantam
316789976,The Weight of Water : A Novel Tag - Author of Resistance and Strange Fits of Passion,Anita Shreve,1997,Little
671519816,Inca Gold (Clive Cussler),Clive Cussler,1995,Pocket
042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
61097861,Hunting Badger (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,2000,HarperCollins
446609145,Void Moon,Michael Connelly,2001,Warner Vision
553575406,Murder on the Prowl,RITA MAE BROWN,1999,Bantam
679433740,Paradise,Toni Morrison,1998,Alfred A. Knopf
375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,Vintage Books
451523326,Jane Eyre,Charlotte Bronte,1988,Signet Classics
038079439X,Expendable,James Alan Gardner,1999,Eos
525945814,Falling Angels,Tracy Chevalier,2001,Dutton Books
60934913,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,2001,Ecco
679736042,Toujours Provence (Vintage Departures),Peter Mayle,1992,Vintage Books USA
156005891,Eden Close,Anita Shreve,1998,Harvest Books
618526412,The Heart Is a Lonely Hunter (Oprah's Book Club),Carson McCullers,2004,Houghton Mifflin Co
60652934,The Screwtape Letters,C. S. Lewis,2001,Harper SanFrancisco
688174035,More Than You Know: A Novel,Beth Gutcheon,2000,William Morrow & Company
670032891,The Well of Lost Plots: A Thursday Next Novel,Jasper Fforde,2004,Viking Books
425098400,Celestial Navigation,Anne Tyler,1993,Ivy Books
446360589,The Burden of Proof,Scott Turow,1991,Warner Books
385315090,Mirror Image,Danielle Steel,1998,Delacorte Press
385311923,Lightning,DANIELLE STEEL,1995,Delacorte Press
385306024,Accident,Danielle Steel,1994,Delacorte Press
345362721,Peachtree Road,Anne Rivers Siddons,1989,Ballantine Books
446802204,Master of the Game,Sidney Sheldon,1983,Not Avail
786889551,The Pied Piper,Ridley Pearson,1999,Hyperion
786889667,The First Victim,Ridley Pearson,2000,Hyperion
044023574X,After the Fire,Belva Plain,2001,Dell Publishing Company
140386351,A Girl Named Disaster,Nancy Farmer,1998,Puffin Books
553580221,False Memory,Dean R. Koontz,2000,Bantam Books
449212750,Murder in the CIA (Capital Crime Mysteries),Margaret Truman,1991,Fawcett Books
425166929,One Last Time: A Psychic Medium Speaks to Those We Have Loved and Lost,John Edward,2000,Berkley Publishing Group
312958129,Coming Home,Rosamunde Pilcher,1996,St. Martin's Press
385336314,Dating Game,Danielle Steel,2003,Delacorte Press
345368754,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books
553213164,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1983,Bantam Classics
446603929,See How They Run,James Patterson,1997,Warner Books
553213180,Anne's House of Dreams,L.M. MONTGOMERY,1983,Bantam Classics
440177049,Season of Passion,Danielle Steel,1980,Dell
446518581,Border Music,Robert James Waller,1995,Warner Books
971181802,E-Wally and the Quest,Judy Shasek,2001,Inventeam Llc
743225724,Good Harbor: A Novel,Anita Diamant,2002,Scribner
375756981,The Vagina Monologues: The V-Day Edition,Eve Ensler,2000,Villard Books
140258795,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,1996,Penguin Books
385509472,Diary: A Novel,Chuck Palahniuk,2003,Doubleday
60988649,Lost: A Novel,Gregory Maguire,2002,Regan Books
595256368,Rhaeva,Linda Moore,2003,Writer's Showcase Press
61099708,Colony,Anne Rivers Siddons,1993,HarperTorch
425182886,Pot Shot,Robert B. Parker,2002,Berkley Publishing Group
425179559,Hugger Mugger,Robert B. Parker,2001,Berkley Publishing Group
425174018,Hush Money (Spenser Mysteries),Robert B. Parker,2000,Berkley Publishing Group
425157474,Chance,Robert B. Parker,1997,Berkley Publishing Group
425152901,Thin Air,Robert B. Parker,1996,Berkley Publishing Group
425141551,Paper Doll,Robert B. Parker,1996,Berkley Publishing Group
425137937,Double Deuce,Robert B. Parker,1993,Berkley Publishing Group
425132935,Pastime,Robert B. Parker,1996,Berkley Publishing Group
440111323,A Catskill Eagle,Robert B. Parker,1993,Dell Publishing Company
440109930,Ceremony,ROBERT PARKER,1992,Dell
340750626,The Evidence Exposed,Elizabeth George,1999,Not Avail
440129613,The Godwulf Manuscript,Robert B. Parker,1996,Dell Publishing Company
385302304,Outlander,DIANA GABALDON,1991,Delacorte Press
515117234,Wild Horses,Dick Francis,1995,Jove Books
452281881,e,Matt Beaumont,2000,Plume Books
684195488,Accordion Crimes,E. Annie Proulx,1996,Scribner
440220424,Having Our Say : The Delany Sisters' First 100 Years,SARAH L. DELANY,1994,Dell
871134799,Suicide Blonde,Darcey Steinke,1992,Pub Group West
689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
373250207,Fishbowl (Red Dress Ink (Paperback)),Sarah Mlynowski,2002,Red Dress Ink
802131786,Tropic of Cancer,Henry Miller,1987,Grove Press
440237025,Journey,Danielle Steel,2001,Dell Publishing Company
312306326,Visions of Sugar Plums,Janet Evanovich,2002,St. Martin's Press
61031550,Triggerfish Twist,Tim Dorsey,2003,HarperTorch
451169522,Misery,Stephen King,2004,Penguin USA (Paper)
805054081,The Book of Illusions: A Novel,Paul Auster,2002,Henry Holt and Co.
60927216,Paula,Isabel Allende,1996,Perennial
374172897,The Hours : A Novel,Michael Cunningham,1998,Farrar
394800389,Fox in Socks (I Can Read It All by Myself Beginner Books),Dr. Seuss,1965,Random House Children's Books
1853261580,The Little Prince (Wordsworth Collection),Antoine de Saint-ExupÃ©ry,1998,NTC/Contemporary Publishing Company
446602450,Spencerville,Nelson DeMille,1995,Warner Books
61092193,Men at Arms,Terry Pratchett,1997,HarperTorch
61031321,Thief of Time,Terry Pratchett,2002,HarperTorch
446359750,Devices and Desires,Phyllis White,1991,Warner Books
440208513,The Evening News,Arthur Hailey,1991,Dell
61054895,Soul Music (Discworld Novels (Paperback)),Terry Pratchett,1995,HarperTorch
688177867,The Book Borrower: A Novel,Alice Mattison,2000,Perennial
767916069,Under the Tuscan Sun : At Home in Italy,FRANCES MAYES,2003,Broadway
140179836,The Liar's Club: A Memoir,Mary Karr,1998,Penguin USA (Paper)
553580906,Claws and Effect,RITA MAE BROWN,2002,Bantam
044022103X,One True Thing,Anna Quindlen,1995,Dell
553581554,The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen,2000,Bantam Books
451179803,Spandau Phoenix,Greg Iles,1994,Signet Book
451203593,24 Hours,Greg Iles,2001,Signet Book
764223305,The Covenant (Abram's Daughters),Beverly Lewis,2002,Bethany House Publishers
2290045764,Extension Du Domain De La Lutte,Michel Houellebecq,2002,European Book Co
451180232,Nightmares & Dreamscapes,Stephen King,2004,Signet Book
517693119,More Than Complete Hitchhiker's Guide,Douglas Adams,1990,Bonanza Books
399145702,The Cat Who Robbed a Bank (Cat Who... (Hardcover)),Lilian Jackson Braun,2000,Putnam Publishing Group
451137965,Thinner,Stephen King,1985,New Amer Library
553266578,The Unwanted,John Saul,1987,Bantam Books
449219550,Longshot,Dick Francis,1994,Fawcett Books
425128164,The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group
425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group
451162145,Koko,Peter Straub,1995,Signet Book
042510687X,Outbreak,Robin Cook,1991,Berkley Publishing Group
553262645,Nathaniel,John Saul,1984,Bantam Books
553573616,My Point...And I Do Have One,ELLEN DEGENERES,1996,Bantam
515101230,The Cat Who Went Underground,Lilian Jackson Braun,1991,Jove Books
515129941,The Cat Who Robbed a Bank (Cat Who... (Paperback)),Lilian Jackson Braun,2001,Jove Books
671002031,Temptation,Jude Deveraux,2000,Atria
786014245,She Loves Me Not,Wendy Corsi Staub,2003,Pinnacle Books
142000221,Cause Celeb,Helen Fielding,2002,Penguin Books
765346524,Wizard's First Rule (Sword Of Truth),Terry Goodkind,2003,Tor Books
553209671,Sophies Choice,William Styron,1982,Bantam Doubleday Dell
440204208,Blood Shot (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1989,Dell
345410017,Fahrenheit 451,RAY BRADBURY,1996,Ballantine Books
486270513,Songs of Innocence and Songs of Experience (Dover Thrift Editions),William Blake,1992,Dover Publications
553274325,Johnny Got His Gun,Dalton Trumbo,1983,Bantam Books
8420634093,El guardiÃ¡n entre el centeno,J. D. Salinger,1978,Alianza Editorial
786861347,Don't Stand Too Close to a Naked Man,Tim Allen,1994,Hyperion Books
425105334,The Talisman,Stephen King,1991,Berkley Publishing Group
553580191,Seize the Night,DEAN KOONTZ,1999,Bantam
64400859,Dragonwings : Golden Mountain Chronicles: 1903 (Golden Mountain Chronicles),Laurence Yep,1977,HarperTrophy
64400565,Stuart Little,E. B. White,1974,HarperTrophy
439049962,Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space,Dav Pilkey,1999,Scholastic
590846280,The Adventures of Captain Underpants: An Epic Novel (Captain Underpants),Dav Pilkey,1997,Little Apple
375758232,Paris to the Moon,Adam Gopnik,2001,Random House Trade
451172817,Needful Things,Stephen King,2004,Signet Book
671886665,A Cry In The Night,Mary Higgins Clark,1993,Pocket
440487617,A Wind in the Door,Madeleine L'Engle,1974,Yearling Books
767915062,Bill Bryson's African Diary,BILL BRYSON,2002,Broadway
1583224890,11-Sep,Noam Chomsky,2001,Seven Stories Press
074322423X,Self Matters : Creating Your Life from the Inside Out,Phillip C. McGraw,2001,Free Press
312981589,Robert Ludlum's The Cassandra Compact (A Covert-One Novel),Robert Ludlum,2002,St. Martin's Paperbacks
051513595X,The Arraignment,Steve Martini,2003,Jove Pubns
044021680X,Gai-Jin: A Novel of Japan,James Clavell,1994,Dell Publishing Company
440120500,The Dirty Duck,Martha Grimes,1990,Dell Publishing Company
743211375,From a Buick 8 : A Novel,Stephen King,2002,Scribner
446606251,Snow in August,Pete Hamill,1998,Warner Books
446515078,Scarlett: The Sequel to Margaret Mitchell's Gone With the Wind,Alexandra Ripley,1991,Warner Books Inc
446300152,Fit for Life,Harvey Diamond,1987,Warner Books
671720147,The Vor Game,Lois McMaster Bujold,1990,Baen
60511508,The Further Observations of Lady Whistledown,Julia Quinn,2003,Avon
425130711,Cold Fire,Dean R. Koontz,1996,Berkley Publishing Group
385317093,Granny Dan,DANIELLE STEEL,1999,Delacorte Press
451168089,'Salem's Lot,Stephen King,1990,Signet Book
671876821,Chicks in Chainmail,Esther Friesner,1995,Baen
067172262X,Hamlet,William Shakespeare,1992,Washington Square Press
055314300X,Bourne Identity,Robert Ludlum,1966,Bantam Doubleday Dell
042518045X,Unraveled Sleeve (Needlecraft Mysteries),Monica Ferris,2001,Berkley Publishing Group
425145638,Fatal Cure,Robin Cook,1997,Berkley Publishing Group
140003065X,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA
553801376,One Door Away from Heaven,Dean R. Koontz,2001,Bantam Books
037582233X,Stargirl,JERRY SPINELLI,2002,Knopf Books for Young Readers
671028383,Grave Secrets,Kathy Reichs,2003,Pocket Star
671011367,Deja Dead,Kathy Reichs,1998,Pocket
91882087,One Hit Wonderland,Tony Hawks,2002,Ebury Press
515136549,The Sherbrooke Twins,Catherine Coulter,2004,Jove Books
380814811,Home for the Holidays,Johanna Lindsey,2001,Avon
671034057,Now You See Her,Linda Howard,1999,Pocket Books
671568841,All the Queen's Men,Linda Howard,2000,Pocket Star
671027573,Mr. Perfect,Linda Howard,2001,Pocket Star
553569910,The Ugly Duckling,Iris Johansen,1997,Bantam Books
2253137243,Le Jour des fourmis,Bernard Werber,1995,LGF
553578685,The Third Victim,LISA GARDNER,2001,Bantam
743418204,In Her Shoes : A Novel,Jennifer Weiner,2003,Washington Square Press
553574639,The Main Corpse (Culinary Mysteries (Paperback)),Diane Mott Davidson,1997,Bantam Books
60512822,The Poisonwood Bible,Barbara Kingsolver,2003,HarperTorch
006097673X,Autobiography of a Face,Lucy Grealy,1995,Perennial
609608339,The Buffalo Soldier : A Novel by the Bestselling Author of MIDWIVES,CHRIS BOHJALIAN,2002,Shaye Areheart Books
786866845,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole,Dr. Jerri Nielsen,2001,Miramax
037570745X,In the Fall (Vintage Contemporaries (Paperback)),Jeffrey Lent,2001,Vintage Books USA
312989393,Queen Bee of Mimosa Branch,Haywood Smith,2003,St. Martin's Paperbacks
836218310,Far Side Gallery 3 Paperback,Gary Larson,1988,Andrews McMeel Publishing
552146986,Inconceivable,Ben Elton,2000,Bantam Doubleday Dell
60391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
374527229,Ex Libris : Confessions of a Common Reader,Anne Fadiman,2000,Farrar
312253435,The Cassandra Compact: A Covert-One Novel,Robert Ludlum,2001,St. Martin's Press
312989385,The Janson Directive,Robert Ludlum,2003,St. Martin's Paperbacks
446519790,Unspeakable,Sandra Brown,1998,Replica Books
330253603,Wilt,Tom Sharpe,1978,Pan Books in association with Secker & Warburg
044011585X,Crossings,DANIELLE STEEL,1987,Dell
440200563,Fine Things,Danielle Steel,1988,Dell
425080021,Dune,Frank Herbert,1984,Berkley Publishing Group
042511984X,The Face of Fear,Dean R. Koontz,1996,Berkley Publishing Group
60393823,Lost,Gregory Maguire,2001,ReganBooks
812508645,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,1997,Tor Books
671743058,Boy's Life,Robert McCammon,1992,Pocket
812580346,Flashforward,Robert J. Sawyer,2000,Tor Science Fiction
316235024,The Gift of Fear : Survival Signals That Protect Us from Violence,Gavin De Becker,1997,Little
60952970,Ophelia Speaks : Adolescent Girls Write About Their Search for Self,Sara Shandler,1999,Perennial
743203631,Gap Creek: The Story Of A Marriage,Robert Morgan,2000,Touchstone
140620842,Gulliver's Travels (Penguin Popular Classics),Jonathan Swift,1994,Penguin Books Ltd
553278002,The Icarus Agenda,Robert Ludlum,1989,Bantam Books
080411109X,The Hundred Secret Senses,Amy Tan,1996,Ivy Books
425081818,The Talisman,Stephen King,1985,Berkley Publishing Group
451206460,Hard Evidence,John Lescroart,2002,Signet Book
552999954,High Society,Ben Elton,2003,Black Swan Books
553213172,Anne of the Island,Lucy Maud Montgomery,1983,Bantam Classics
671722905,The TEMPEST,William Shakespeare,1994,Washington Square Press
397306938,A Little Princess,Frances Hodgson Burnett,1999,HarperCollins
60931418,Their Eyes Were Watching God,Zora Neale Hurston,1998,Perennial
142000981,Coal: A Human History,Barbara Freese,2004,Penguin USA (Paper)
515136557,The Cat Who Brought Down the House,Lilian Jackson Braun,2004,Jove Books
449204324,Blue Highways a Journey Into America,William Least Heat-Moon,1983,Ballantine Books
3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
3442447038,Wellenbrecher.,Minette Walters,2000,Goldmann
3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
20198906,Joshua,Joseph F Girzone,1987,Macmillan
140089225,The Bone People,Keri Hulme,1986,Penguin Books
385425473,Wild Swans: Three Daughters of China,JUNG CHANG,1992,Anchor
743448642,Whispers and Lies,Joy Fielding,2003,Pocket Books
821769367,The Night Before,Lisa Jackson,2003,Zebra Books
316287555,Day of Confession,Allan Folsom,1998,Little
051512558X,The Overseer,Jonathan Rabb,1999,Jove Books
515132136,The Jury,Steve Martini,2002,Jove Books
805059555,"\O\"" Is for Outlaw""",Sue Grafton,1999,Henry Holt & Company
805036504,N Is for Noose (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1998,Henry Holt & Company
679434046,In the Kitchen With Rosie: Oprah's Favorite Recipes,Rosie Daley,1994,Alfred A. Knopf
553278215,Pearl,John Steinbeck,1983,Bantam Doubleday Dell
743428625,Celeste (Gemini),V.C. Andrews,2004,Pocket Star
425177351,Bio-Strike (Tom Clancy's Power Plays (Paperback)),Jerome Preisler,2000,Berkley Publishing Group
312974256,Welcome to Temptation,Jennifer Crusie,2001,St. Martin's Paperbacks
679425268,Sole Survivor,DEAN KOONTZ,1997,Knopf
446608815,Pop Goes the Weasel,James Patterson,2000,Warner Vision
515128546,Tears of the Moon (Irish Trilogy),Nora Roberts,2000,Jove Books
440984696,Tiger Eyes,Judy Blume,1982,Laure Leaf
515114006,Private Scandals,Nora Roberts,1994,Jove Books
375401601,Vittorio the Vampire: New Tales of the Vampires,Anne Rice,1999,Alfred A. Knopf
399149392,Chesapeake Blue (Quinn Brothers (Hardcover)),Nora Roberts,2002,Putnam Publishing Group
385413041,Beach Music,PAT CONROY,1995,Nan A. Talese
451523385,Wuthering Heights (Signet Classic),Emily Bronte,1993,Signet Book
316769495,Franny and Zooey,J.D. Salinger,1991,Little
670880728,Bridget Jones's Diary,Helen Fielding,1998,Viking Books
385472943,The Runaway Jury,JOHN GRISHAM,1996,Doubleday
142003727,Revenge of the Middle-Aged Woman,Elizabeth Buchan,2003,Penguin USA (Paper)
2264002190,Les amants maudits (10/18),Katia Granoff,1979,Union gÃ©nÃ©rale d'Ã©ditions
553801341,From the Corner of His Eye,Dean R. Koontz,2000,Bantam Books
671039725,Carrie,Stephen King,2002,Pocket
345422317,The Genesis Code,John Case,1998,Ballantine Books
451142934,Skeleton Crew,Stephen King,1986,New Amer Library
786862564,Make the Connection: Ten Steps to a Better Body and a Better Life,Bob Greene,1996,Hyperion Press
451408462,Drop Dead Gorgeous,Heather Graham,1998,Onyx Books
440173922,The Ring,Danielle Steel,1983,Dell
61031992,A Theory of Relativity,Jacquelyn Mitchard,2002,HarperTorch
1551668084,Storm Warning,Dinah Mccall,2001,Mira
051513306X,The Shape of Snakes,Minette Walters,2002,Jove Books
425104346,Darkfall,Dean R. Koontz,1996,Berkley Publishing Group
440237556,The Dark Highlander,Karen Marie Moning,2002,Dell Publishing Company
515134511,The Killing Dance (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1997,Jove Books
446520802,The Notebook,Nicholas Sparks,1996,Warner Books
425168468,Practical Magic,Alice Hoffman,1998,Berkley Publishing Group
515130966,Riptide,Catherine Coulter,2001,Jove Books
684195976,BODY FARM,Patricia Cornwell,1994,Scribner
425092917,The Accidental Tourist,Anne Tyler,1994,Berkley Publishing Group
449911519,Secret History : A Novel,DONNA TARTT,1996,Ballantine Books
440236754,Sunset in St. Tropez,Danielle Steel,2003,Dell Publishing Company
20199600,GREAT GATSBY (REISSUE),F. Scott Fitzgerald,1988,Scribner Paper Fiction
553560441,The Road to Omaha,Robert Ludlum,1993,Bantam Books
449217264,Alaska,James A. Michener,1994,Fawcett Books
345298349,Gorky Park,Martin Cruz Smith,1993,Ballantine Books
345372050,You Just Don't Understand,DEBORAH TANNEN,1991,Ballantine Books
3404148665,Illuminati.,Dan Brown,2003,LÃ?Â¼bbe
1551666650,Hurricane Bay,Heather Graham,2003,Mira Books
1558745157,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997,Health Communications
553230212,Parsifal Mosaic,Robert Ludlum,1983,Bantam Doubleday Dell
440118700,Cry for the Strangers,John Saul,1986,Dell
553800949,Final Target,Iris Johansen,2001,Bantam Books
006050918X,City of the Beasts,Isabel Allende,2002,HarperCollins
140124381,Better Than Life,Doug Naylor,2004,Penguin Books Ltd
140441654,Utopia (Penguin Classics),Thomas More,1965,Penguin Books
312955006,The Concrete Blonde (A Harry Bosch Novel),Michael Connelly,1995,St. Martin's Paperbacks
440236169,Birdman,Mo Hayder,2000,Dell Publishing Company
679723110,Grendel,John Champlin Gardner,1989,Vintage Books USA
037325024X,Out of the Blue (Red Dress Ink (Paperback)),Isabel Wolff,2003,Red Dress Ink
61044431,The Salaryman's Wife (Children of Violence Series),Sujata Massey,2000,HarperTorch
441003389,Freedom's Landing,Anne McCaffrey,1996,Ace Books
61057894,Acorna: The Unicorn Girl (Acorna (Paperback)),Anne McCaffrey,1998,Eos
078670621X,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,1999,Carroll & Graf Publishers
393315606,Morality Play,Barry Unsworth,1996,W. W. Norton & Company
60936231,Soul Mountain,Gao Xingjian,2001,Perennial
1400060117,A Round-Heeled Woman : My Late-Life Adventures in Sex and Romance,JANE JUSKA,2003,Villard
449908798,Duplicate Keys,Jane Smiley,1993,Ballantine Books
399146113,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,2000,Penguin Putnam
446675059,The Honk and Holler Opening Soon,Billie Letts,1999,Warner Books
375411550,The Bluest Eye,Toni Morrison,2000,Knopf
679774025,All over but the Shoutin',Rick Bragg,1998,Vintage Books USA
452284937,Girl With a Pearl Earring,Tracy Chevalier,2003,Plume Books
1573222267,Blue Shoe,Anne Lamott,2002,Riverhead Books
316781010,Fortune's Rocks: A Novel,Anita Shreve,1999,Back Bay Books
345460359,Drowning Ruth,CHRISTINA SCHWARZ,2003,Ballantine Books
64400018,Little House in the Big Woods,Laura Ingalls Wilder,1953,HarperTrophy
1561797111,Gianna: Aborted... and Lived to Tell About It (Living Books),Jessica Shaver,1999,Bethany House Publishers
380698714,Sideways Stories from Wayside School (Wayside School),Louis Sachar,1985,HarperTrophy
385314280,When Elephants Weep: The Emotional Lives of Animals,Jeffrey Moussaieff Masson,1996,Delta
345285859,Shibumi,Trevanian,1980,Not Avail
804102988,Sarum: The Novel of England,Edward Rutherford,1992,Ivy Books
425154882,Carriers,Patrick Lynch,1996,Berkley Publishing Group
345404769,Silent Witness,RICHARD NORTH PATTERSON,1997,Ballantine Books
425158594,Demon Seed,Dean R. Koontz,1997,Berkley Publishing Group
99282194,Human Stain,Philip Roth,2001,Random House Uk Ltd
1558745017,Chicken Soup for the Christian Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1997,Health Communications
671501283,Scuse Me While I Kiss This Guy,Gavin Edwards,1995,Fireside
440221099,Talk Before Sleep: A Novel,Elizabeth Berg,1995,Island
385319207,One True Thing,Anna Quindlen,1997,Delta Trade Paperbacks
157322930X,High Maintenance,Jennifer Belle,2002,Riverhead Books
425163407,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group
671873199,All That Glitters (Landry),V.C. Andrews,1995,Pocket
515099546,The Cat Who Sniffed Glue,Lilian Jackson Braun,1996,Jove Books
812542835,Reliquary,Douglas Preston,1998,Tor Books
553575937,Jane and the Unpleasantness at Scargrave Manor: Being the First Jane Austen Mystery (Jane Austen Mysteries (Paperback)),Stephanie Barron,1997,Bantam Books
743410181,Temptation,Jude Deveraux,2001,Pocket Books
671744623,The Heiress,Jude Deveraux,1995,Pocket
61044636,Mars and Venus on a Date : A Guide to Navigating the 5 Stages of Dating to Create a Loving and Lasting Relationship,John Gray,1998,HarperTorch
451160533,She Who Remembers,Linda Lay Shuler,1989,Signet Book
395927218,The Namesake,Jhumpa Lahiri,2003,Houghton Mifflin Company
006039384X,Mirror Mirror: A Novel,Gregory Maguire,2003,Regan Books
037576092X,Autobiography of a Fat Bride : True Tales of a Pretend Adulthood,LAURIE NOTARO,2003,Villard
515133876,Narcissus in Chains (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,Jove Books
515134503,Obsidian Butterfly (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2000,Jove Books
515134457,Blue Moon,Laurell K. Hamilton,1998,Jove Books
515134473,Burnt Offerings (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1998,Jove Books
515134465,Bloody Bones (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1996,Jove Books
051513452X,The Lunatic Cafe (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,2002,Jove Books
515134481,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Jove Books
051513449X,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Jove Books
553212737,Emma,JANE AUSTEN,1984,Bantam
055356983X,Anne Frank's Tales from the Secret Annex,Anne Frank,1994,Bantam Books
1860499627,Desert Dawn,Jeanne D'Haem,2003,Virago Press (UK)
684849690,The SECRET DIARY OF ANNE BOLEYN,Robin Maxwell,1998,Touchstone
425195449,Naked Prey (Prey),John Sandford,2004,Berkley Publishing Group
2290311782,Je Voudrais Que Quelqu'un M'Attende Quelque Part,Anna Gavalda,2001,Editions J'Ai Lu
1550544683,Jade Peony,Wayson Choy,1995,Harpercollins Canada
141301104,The Witches (Puffin Novels),Roald Dahl,1998,Puffin Books
399148248,Midnight Bayou,Nora Roberts,2001,Putnam Publishing Group
425174344,Local Girls,Alice Hoffman,2000,Berkley Publishing Group
671027581,Open Season,Linda Howard,2002,Pocket
1573229725,Fingersmith,Sarah Waters,2002,Riverhead Books
671534726,Heart Song (Logan),V.C. Andrews,1997,Pocket
671873202,Hidden Jewel (Landry),V.C. Andrews,1995,Pocket
671007637,Runaways (Orphans),V.C. Andrews,1998,Pocket
671534734,Unfinished Symphony (Logan),V.C. Andrews,1997,Pocket
671534742,Music in the Night (Logan),V.C. Andrews,1998,Pocket
425136981,Shadowfires,Dean R. Koontz,1994,Berkley Publishing Group
671673653,All Around the Town,Mary Higgins Clark,1992,Simon & Schuster
140378278,Time Cat: The Remarkable Journeys of Jason and Gareth,Lloyd Alexander,1996,Puffin Books
380599236,Spring Moon: A Novel of China,Bette Lord,1982,Avon Books
440224780,The Ranch,DANIELLE STEEL,1998,Dell
446671002,The Celestine Prophecy,James Redfield,1995,Warner Books
679419454,Disclosure,Michael Crichton,1994,Alfred A. Knopf
038097729X,Paradise Lost: A Novel of Suspense,J.A. Jance,2001,William Morrow
812971043,The Dante Club : A Novel,MATTHEW PEARL,2004,Random House Trade Paperbacks
385509510,Under the Banner of Heaven : A Story of Violent Faith,JON KRAKAUER,2003,Doubleday
804115761,Thousand Acres,JANE SMILEY,1996,Ivy Books
312185863,Four to Score (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Press
441001416,Lyon's Pride (Rowan),Anne McCaffrey,1995,Ace Books
1573227889,Tipping the Velvet,Sarah Waters,2000,Riverhead Books
553285920,Silent Partner (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1990,Bantam Books
61097853,The First Eagle (Jim Chee Novels),Tony Hillerman,1999,HarperTorch
671867091,Remember Me,Mary Higgins Clark,1995,Pocket
425147517,The Key to Midnight,Dean R. Koontz,1995,Berkley Publishing Group
345386108,Winter Moon,Dean R. Koontz,1995,Ballantine Books
671795554,Remember When,Judith McNaught,1997,Pocket
515130044,The Attorney,Steve Martini,2001,Jove Books
038072118X,Where is Joe Merchant?,Jimmy Buffett,1993,Avon
446608009,The Drowning People,Richard Mason,2000,Warner Vision
553576798,The Other Daughter,LISA GARDNER,1999,Bantam
684871483,Kokology : More of the Game of Self-Discovery,Tadahiko Nagao,2000,Fireside
446525537,A Walk to Remember,Nicholas Sparks,1999,Warner Books
670894605,The Secret Life of Bees,Sue Monk Kidd,2002,Viking Books
038550117X,Disobedience,Jane Hamilton,2000,Doubleday Books
1400030927,Jennifer Government,MAX BARRY,2004,Vintage
